region,year,life_expectancy,undernourishment,co2,health_exp_pct,education_exp_pct,unemployment,corruption,sanitation,injuries,communicable,non_communicable
East Asia & Pacific,2001,69.66038675958188,13.677777777777779,293757.5,4.6799378155,5.215327684695901,4.216999953985215,,49.28096499923077,3475077.7333333334,5871213.6404761905,19458008.23333333
East Asia & Pacific,2002,69.94278861788618,13.2,311622.0028169455,4.969214601,4.747807667805598,4.202399995923045,,49.595871948461536,3403878.3590476187,5575861.439047619,19710623.083333332
East Asia & Pacific,2003,70.2421138211382,12.7,344892.00535789155,4.6832646005,4.874310043123035,4.131099984049796,,50.00626280230769,3381797.336190476,5297666.502380952,19965257.883809526
East Asia & Pacific,2004,70.54292915214867,12.377777777777778,383604.48979120713,4.8877975104999996,4.08476909724149,3.892449992895126,,50.47247804692308,3846000.7604761906,5061445.472380952,20297259.336666666
East Asia & Pacific,2005,70.74737804878049,11.794444444444444,400323.32496699813,5.1647968509523805,3.820546680026584,3.7770500123500823,2.95,51.08237393692308,3160666.628181818,4606961.630909091,19522458.710909095
East Asia & Pacific,2006,71.09822183507549,11.227777777777778,451452.51200050116,4.972889018,3.9873845577239972,3.6350000232458113,2.95,51.70528803384615,3248015.667619047,4618351.398571429,20421113.09952381
East Asia & Pacific,2007,71.36497328687572,10.577777777777778,484131.50576781464,4.8024705775,4.108617736743047,3.6097500234842292,3.0555555555555554,52.38618439846154,3169707.3452380947,4429342.294285714,20503226.92190476
East Asia & Pacific,2008,71.62519744483158,10.077777777777778,492508.00428483664,5.0929515715,4.332525730133057,3.558100000023842,3.111111111111111,53.07351540307692,3730781.447142857,4270176.728095238,20723072.21857143
East Asia & Pacific,2009,71.91025087108014,9.350000000000001,515995.9892800078,5.2940676695,4.471882828644344,3.8931000173091883,3.0555555555555554,53.747073265384614,3140850.794285714,4121586.1623809524,20965063.50952381
East Asia & Pacific,2010,72.14812891986064,8.772222222222222,560522.4954700097,5.111223168,4.21204809844494,3.6653000086545937,3.0555555555555554,54.45001772923077,3100581.495238095,3970633.186190476,21246992.447142858
East Asia & Pacific,2011,72.38210104529617,8.2,607232.491860725,5.0328223535,4.9742243960499755,3.7516999989748,3.1666666666666665,55.158606885384614,3024000.8066666666,3838212.9495238094,21492611.19
East Asia & Pacific,2012,72.64979326364693,7.972222222222222,623974.0053454413,5.152588534,5.109387494623663,3.776499971747396,3.2222222222222223,55.86544139384615,2927743.7452380955,3730061.5657142857,21675989.954761904
East Asia & Pacific,2013,72.89611382113821,7.788888888888888,647025.0180119651,5.313676203,4.926135904648725,3.688550019264222,3.15,56.534967744615386,2895668.2271428574,3621360.5604761904,21877746.447142858
East Asia & Pacific,2014,73.1264668989547,7.644444444444444,649100.495213084,5.4478752385,4.77368884226855,3.498300012946129,3.15,57.214190341538455,2825802.656666667,3519879.1661904766,22122724.90047619
East Asia & Pacific,2015,73.34512543554007,7.444444444444445,643516.4757722989,5.2914183025,4.856157036388621,3.4874000519514086,3.15,57.890364043846155,2786018.743809524,3479510.1795238093,22382696.764761902
East Asia & Pacific,2016,73.5476399535424,7.2444444444444445,644591.0103846341,5.2974040745,4.8408117785173275,3.512050038576126,3.1666666666666665,58.58055015153846,2782351.142380952,3420676.986190476,22760051.26666667
East Asia & Pacific,2017,73.73682926829268,6.988888888888889,658265.4877893627,5.3034050825,4.6342462991413305,3.421749994903802,3.111111111111111,59.33439837230769,2794881.716190476,3303937.5909523806,23091115.94095238
East Asia & Pacific,2018,73.92951684088268,6.711111111111111,683394.9857108294,5.3990507,4.703761075672351,3.2530500113964074,3.0,60.095434229999995,2770991.834761905,3171138.1761904764,23424472.647619046
East Asia & Pacific,2019,74.09698954703833,6.483333333333333,698255.9844024478,5.54829899,4.91047004063924,3.1845999918878074,2.9444444444444446,59.35311041333333,2750738.7661904762,3088306.1166666667,23818725.10714286
Europe & Central Asia,2001,73.89263248337029,4.814634146341463,107743.02325581395,6.924776451666666,4.71320483761449,10.404860493748691,,66.89672774342105,545588.1527272727,371172.3463636364,3998144.7295454545
Europe & Central Asia,2002,74.06211529933482,4.602439024390244,107906.74341556638,7.203532917380952,4.763145728544757,10.368674427963969,,67.13726812526316,538673.0879545455,361817.72204545455,4024667.4145454546
Europe & Central Asia,2003,74.27591629711752,4.341463414634147,111404.65086837145,7.4475567216666665,4.907706768281998,10.4518139306889,,67.37783571710526,527916.5406818182,357154.0731818182,4039640.1915909094
Europe & Central Asia,2004,74.67679767184036,4.065853658536585,111635.81454476649,7.522033532380952,4.8204285231503565,10.481279040491856,,67.75574700842105,519732.84045454545,350793.4243181818,4031796.3622727273
Europe & Central Asia,2005,74.82914135254988,3.7634146341463417,111050.46466893928,7.506018013571428,4.967019371688366,10.188976725866628,2.6666666666666665,68.14639061736841,513124.07795454544,350370.0554545455,4053334.506590909
Europe & Central Asia,2006,75.08249002217295,3.4853658536585366,112263.2542488187,7.365589897142857,4.945497120580367,9.419790678246077,2.6666666666666665,67.6075396774359,502936.3979545455,344231.68068181816,4033404.973863636
Europe & Central Asia,2007,75.30544567627496,3.2878048780487807,111456.0459159142,7.249847865714285,4.798970594125636,8.44283720504406,2.642857142857143,68.13610545666667,497646.01636363636,340834.45704545453,4044906.3927272726
Europe & Central Asia,2008,75.66456042128604,3.1658536585365855,110489.070398863,7.493560109761905,5.037521210583773,8.189186013022134,2.5714285714285716,68.68203240487179,488653.81181818177,336082.9768181818,4044063.3747727275
